resource,title,author,year,license,licenseUrl,sourcePage,modifications
opening_slide_nyse_1963,"New York Stock Exchange trading floor, 1963",Thomas J. O’Halloran,1963,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,https://commons.wikimedia.org/wiki/File:NY_stock_exchange_traders_floor_LC-U9-10548-6.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_nasdaq_2021,Nasdaq MarketSite,Ajay Suresh,2021,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://commons.wikimedia.org/wiki/File:Nasdaq_MarketSite_(51494550508).jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_yeouido_1984,여의도 증권거래소 플로어 (1984),서울역사박물관·서울역사아카이브,1984,Korea Open Government License Type 1,https://www.kogl.or.kr/info/licenseType1.do,https://commons.wikimedia.org/wiki/File:%EC%97%AC%EC%9D%98%EB%8F%84_%EC%A6%9D%EA%B6%8C%EA%B1%B0%EB%9E%98%EC%86%8C_%ED%94%8C%EB%A1%9C%EC%96%B4_(1984).jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_004,Market centre in Tokyo stock exchange.jpg,ehnmark,2009,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Market_centre_in_Tokyo_stock_exchange.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_005,Financial District Manhattan April 2022 025.jpg,Kidfly182,2022,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Financial_District_Manhattan_April_2022_025.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_006,Financial District Manhattan April 2022 049.jpg,Kidfly182,2022,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Financial_District_Manhattan_April_2022_049.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_007,1 Wall Street Court.jpg,Kidfly182,2024,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:1_Wall_Street_Court.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_008,40 Wall Street 009.jpg,Kidfly182,2024,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:40_Wall_Street_009.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_009,Financial District Manhattan August 2024 083.jpg,Kidfly182,2024,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Financial_District_Manhattan_August_2024_083.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_010,Financial District Manhattan September 2024 014.jpg,Kidfly182,2024,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Financial_District_Manhattan_September_2024_014.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_011,Financial District Manhattan September 2024 093.jpg,Kidfly182,2024,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Financial_District_Manhattan_September_2024_093.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_012,Financial District Manhattan March 2025 048.jpg,Kidfly182,2025,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Financial_District_Manhattan_March_2025_048.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_013,Walking in the Financial District (8).jpg,Ferfive,2025,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Walking_in_the_Financial_District_(8).jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_014,"Financial District, Toronto.jpg",paul (dex) from Toronto,2004,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:Financial_District,_Toronto.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_015,Financial District May 2010.jpg,"mark.watmough from Edinburgh, UK",2010,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Financial_District_May_2010.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_016,"Financial District, Manhattan skyline.jpg",Ken Lund,2012,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:Financial_District,_Manhattan_skyline.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_017,New-york-manhattan-financial-district-2013.jpg,Michielderoo,2013,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:New-york-manhattan-financial-district-2013.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_018,San Francisco Financial District Skyline - panoramio.jpg,Noah_Loverbear,2014,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:San_Francisco_Financial_District_Skyline_-_panoramio.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_019,Manhattan Financial District from Brooklyn Bridge (7237201464).jpg,"Ken Lund from Reno, Nevada, USA",2012,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Manhattan_Financial_District_from_Brooklyn_Bridge_(7237201464).jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_020,"Lower Manhattan, New York skyline from Liberty Island 2021.jpg",Percival Kestreltail,2021,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Lower_Manhattan,_New_York_skyline_from_Liberty_Island_2021.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_021,Manhattan New York skyline by Don Ramey Logan.jpg,Don Ramey Logan,2022,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Manhattan_New_York_skyline_by_Don_Ramey_Logan.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_022,Financial District Skyline.jpg,Josh B,2023,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Financial_District_Skyline.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_023,Manhattan's financial district on a cloudy day.jpg,Horizon206,2023,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://commons.wikimedia.org/wiki/File:Manhattan%27s_financial_district_on_a_cloudy_day.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_024,Sunset between Brooklyn and the Financial District in New York City.jpg,ThibautRe,2022,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Sunset_between_Brooklyn_and_the_Financial_District_in_New_York_City.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_025,Financial District from Brooklyn Bridge.jpg,MemeGod27,2024,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://commons.wikimedia.org/wiki/File:Financial_District_from_Brooklyn_Bridge.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_026,"Digital photograph of the skyline of the Financial District of San Francisco, California from the San Francisco – Oakland Bay Bridge at 1017.15 on Saturday, 3 September 2022.jpg",Wehrstossgewehr,2022,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"https://commons.wikimedia.org/wiki/File:Digital_photograph_of_the_skyline_of_the_Financial_District_of_San_Francisco,_California_from_the_San_Francisco_%E2%80%93_Oakland_Bay_Bridge_at_1017.15_on_Saturday,_3_September_2022.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_027,Singapore Financial District skyline from across Marina Bay.jpg,Daniel Case,2023,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Singapore_Financial_District_skyline_from_across_Marina_Bay.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_028,View south down Nicolls Highway to Singapore Financial District skyline from Bras Barah Road.jpg,Daniel Case,2023,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:View_south_down_Nicolls_Highway_to_Singapore_Financial_District_skyline_from_Bras_Barah_Road.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_029,"Puppalaguda, Financial District, Myscape, Oct 2025, Rainy Day.jpg",Tushar0034,2025,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Puppalaguda,_Financial_District,_Myscape,_Oct_2025,_Rainy_Day.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_030,"Financial District East Skyline, 2025.jpg",Julian Lupyan,2025,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"https://commons.wikimedia.org/wiki/File:Financial_District_East_Skyline,_2025.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_031,"Buildings in Financial District, Manhattan.jpg",Julian Lupyan,2025,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"https://commons.wikimedia.org/wiki/File:Buildings_in_Financial_District,_Manhattan.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_032,"Skyline of Financial District, Manhattan, 2025.jpg",Julian Lupyan,2025,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"https://commons.wikimedia.org/wiki/File:Skyline_of_Financial_District,_Manhattan,_2025.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_033,HK Sheung Wan Tram tour view Cleverly Street currency exchange FX shop Sept 2016 001 Des Voeux Road Central Champion Building FX shop Tram Terminus.jpg,Kuk Yau Wang Dhai Howa,2016,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:HK_Sheung_Wan_Tram_tour_view_Cleverly_Street_currency_exchange_FX_shop_Sept_2016_001_Des_Voeux_Road_Central_Champion_Building_FX_shop_Tram_Terminus.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_034,The black market for the illegal exchange of money (FL45850098).jpg,Efi Sharir,1984,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:The_black_market_for_the_illegal_exchange_of_money_(FL45850098).jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_035,HK TWD 荃灣 Tsuen Wan 河背街 Ho Pui Street name sign n Wo Tik Street 川龍街 Chuen Lung Street market shops money exchange May 2025 R12S 01.jpg,BGOOLAEDI Hailwimu,2025,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://commons.wikimedia.org/wiki/File:HK_TWD_%E8%8D%83%E7%81%A3_Tsuen_Wan_%E6%B2%B3%E8%83%8C%E8%A1%97_Ho_Pui_Street_name_sign_n_Wo_Tik_Street_%E5%B7%9D%E9%BE%8D%E8%A1%97_Chuen_Lung_Street_market_shops_money_exchange_May_2025_R12S_01.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_036,Deutsche-boerse-parkett-ffm002.jpg,Dontworry,2008,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Deutsche-boerse-parkett-ffm002.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_037,Deutsche-boerse-parkett-ffm003.jpg,Dontworry,2008,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Deutsche-boerse-parkett-ffm003.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_038,Deutsche-boerse-parkett-ffm004.jpg,Dontworry,2008,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Deutsche-boerse-parkett-ffm004.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_039,Deutsche-boerse-parkett-ffm005.jpg,Dontworry,2008,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Deutsche-boerse-parkett-ffm005.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_040,Deutsche-boerse-parkett-ffm006.jpg,Dontworry,2008,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Deutsche-boerse-parkett-ffm006.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_041,Dirk Müller Börsenmakler.jpg,Deutsche-boerse-parkett-ffm006.jpg: Dontworry derivative work: Lady Whistler (talk),2011,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Dirk_M%C3%BCller_B%C3%B6rsenmakler.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_042,Frankfurt Borse (Ank Kumar) 01.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Borse_(Ank_Kumar)_01.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_043,Frankfurt Borse (Ank Kumar) 02.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Borse_(Ank_Kumar)_02.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_044,Frankfurt Borse (Ank Kumar) 03.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Borse_(Ank_Kumar)_03.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_045,Frankfurt Borse (Ank Kumar) 04.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Borse_(Ank_Kumar)_04.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_046,Frankfurt Borse (Ank Kumar) 07.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Borse_(Ank_Kumar)_07.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_047,Frankfurt Borse (Ank Kumar) 11.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Borse_(Ank_Kumar)_11.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_048,"Frankfurt Borse (Ank Kumar, Infosys) 07.jpg",Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Frankfurt_Borse_(Ank_Kumar,_Infosys)_07.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_049,Frankfurt Stock Exchange (Ank Kumar) 01.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Stock_Exchange_(Ank_Kumar)_01.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_050,Frankfurt Stock Exchange (Ank Kumar) 03.jpg,Ank Kumar,2015,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Frankfurt_Stock_Exchange_(Ank_Kumar)_03.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_051,NY stock exchange telephone operator LC-USZ62-104021.jpg,Unknown author,c. 1928,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,https://commons.wikimedia.org/wiki/File:NY_stock_exchange_telephone_operator_LC-USZ62-104021.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_052,New Toronto Stock Exchange trading floor.jpg,Alexandra Studios,c. 1937,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,https://commons.wikimedia.org/wiki/File:New_Toronto_Stock_Exchange_trading_floor.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_053,London Stock Exchange geograph-3066495-by-Ben-Brooksbank.jpg,Ben Brooksbank,1955,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:London_Stock_Exchange_geograph-3066495-by-Ben-Brooksbank.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_054,"U.S. Service members pose for a photo after ringing the closing bell at the New York Stock Exchange in New York May 24, 2013 130524-O-ZZ999-002.jpg",Dario Cantatore,2013,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:U.S._Service_members_pose_for_a_photo_after_ringing_the_closing_bell_at_the_New_York_Stock_Exchange_in_New_York_May_24,_2013_130524-O-ZZ999-002.jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_055,Director Petraeus rings opening bell at NY Stock Exchange - Flickr - The Central Intelligence Agency.jpg,The Central Intelligence Agency,2012,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,https://commons.wikimedia.org/wiki/File:Director_Petraeus_rings_opening_bell_at_NY_Stock_Exchange_-_Flickr_-_The_Central_Intelligence_Agency.jpg,"Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_056,"Trading floor, New York Stock Exchange, New York, New York LCCN2011630168.tif",Carol M. Highsmith,1980–2006,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:Trading_floor,_New_York_Stock_Exchange,_New_York,_New_York_LCCN2011630168.tif","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_057,"New York Stock Exchange, New York, New York LCCN2011632356.tif",Carol M. Highsmith,1980–1990,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:New_York_Stock_Exchange,_New_York,_New_York_LCCN2011632356.tif","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_058,"New York Stock Exchange, New York, New York LCCN2011632359.tif",Carol M. Highsmith,1980–1990,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:New_York_Stock_Exchange,_New_York,_New_York_LCCN2011632359.tif","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_059,"Trading floor of the New York Stock Exchange, New York City LCCN2011632435.tif",Carol M. Highsmith,1980–2006,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:Trading_floor_of_the_New_York_Stock_Exchange,_New_York_City_LCCN2011632435.tif","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_060,"New York Stock Exchange trading floor on Wall Street, New York, New York LCCN2011634218.tif",Carol M. Highsmith,1980–2006,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:New_York_Stock_Exchange_trading_floor_on_Wall_Street,_New_York,_New_York_LCCN2011634218.tif","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_061,"The Main Entrance to the New York Stock Exchange, 18 Broad Street, Manhattan, New York (7236979828).jpg","Ken Lund from Reno, Nevada, USA",2012,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:The_Main_Entrance_to_the_New_York_Stock_Exchange,_18_Broad_Street,_Manhattan,_New_York_(7236979828).jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_062,"New York Stock Exchange, Manhattan, New York (7236984682).jpg","Ken Lund from Reno, Nevada, USA",2012,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:New_York_Stock_Exchange,_Manhattan,_New_York_(7236984682).jpg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_063,"Mr. Taha Abdulsalam (seated), CHIEF Executive Officer (CEO), Iraq Stock Exchange (ISX), signs an official document while the ISX floor is open for trading in Baghdad, Baghdad Provin - DPLA - 638a3bfa4bf71057d66950a8d4e0d3cd.jpeg",Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,2004,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:Mr._Taha_Abdulsalam_(seated),_CHIEF_Executive_Officer_(CEO),_Iraq_Stock_Exchange_(ISX),_signs_an_official_document_while_the_ISX_floor_is_open_for_trading_in_Baghdad,_Baghdad_Provin_-_DPLA_-_638a3bfa4bf71057d66950a8d4e0d3cd.jpeg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
opening_slide_064,"Three female employees of the Iraq Stock Exchange (ISX) pose for a candid photograph while the ISX floor is open for trading in Baghdad, Baghdad Province, Iraq (IRQ), during Operati - DPLA - 9e09fcee2ab8f13940aa1829b7517718.jpeg",Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,2004,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"https://commons.wikimedia.org/wiki/File:Three_female_employees_of_the_Iraq_Stock_Exchange_(ISX)_pose_for_a_candid_photograph_while_the_ISX_floor_is_open_for_trading_in_Baghdad,_Baghdad_Province,_Iraq_(IRQ),_during_Operati_-_DPLA_-_9e09fcee2ab8f13940aa1829b7517718.jpeg","Converted to sRGB, resized as needed to a maximum 1600 px edge, JPEG recompressed at quality 84, and metadata removed; runtime center-crop may apply."
